wasm_hash,instance_count,instance_percent
"07097f83dae3b746db7dba3263d9cc334efb88a9a7d5450fb96ca19f33d284b0",119053,81.2993
"ecd990f0b45ca6817149b6175f79b32efb442f35731985a084131e8265c4cd90",4569,3.1201
"0a41411f7250a78da15d6cd6cf78086e19d98bc917dd0a51e03a34f5ab969781",2276,1.5542
"f340242d143b42e273f628f44ccb907f55f5beb256f3de17de2c005fcdbc9783",1272,0.8686
"7ac3713a1df2919fc76d50539bbbadf7fc9758cedb5fe7d322c93dd5d5fb42f2",1257,0.8584
"72ae9a04124c9cdab25ecd7a58a7b7be28ecd8791dd02fefbaddfd06f521299f",1134,0.7744
"2ddb5ef1f8f029ea93313ed7a6886f763eda7287d8a08bacc0a427ab0aa1dc1f",1014,0.6924
"0c0a264d4cc0b3e79b8533e2a2e1f0ed21501a5a3f9f2455d2f18c232940b865",827,0.5647
"b62f62217ff256d557513793e9e44317b25b14401a8a6b6149a04d38d72d6c7c",814,0.5559
"bfab576fb405952fdeb0c502e3f662668601f3b63111bcf034c240cea4b6240d",484,0.3305
"76d2ba826c1b5a7b6cc0aaebe058cc3ffc373c2171f90d63ebb7481a28f577bd",442,0.3018
"556a300afee794c559573f4d95dd858944e3036e7cea14487830f27bec601df2",420,0.2868
"07bab30eb93f9d194b079a3f02ba86821ae82b9d4770a38c6b7b8524df9e284f",379,0.2588
"43a1cd087115c76dc880b0e07e171298b4f55dfc333c03df1b06266cf229199c",356,0.2431
"ae0da5a84b15805c5c7931ac567a8d1b34be3f26b483993d9ff80cb2c3de9852",320,0.2185
"baabbdd1d1816be62751880621a323168525f839442de5f4c1ce1c1a0ebf42b1",306,0.2090
"a12e8fa9621efd20315753bd4007d974390e31fbcb4a7ddc4dd0a0dec728bf2e",247,0.1687
"96d51751f924c938a081deb740056dc1c5cc60c6e645672062531f82957ed2fe",240,0.1639
"18051456816b66f12e773a56f77c5794fac1b1fb7ab6e22d4fad5a412770f73e",235,0.1605
"5ff6825ada1bf1a1089b585799045bd2479392347b60ddda77ace7d2c6bb38a9",210,0.1434
