spec_hash,count,functions
2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824,32,hello
e99a0a81d2e8609935191d992cb4bb1804fbfcc637573fc61720997fa747950a,28,initialize mint set_admin allowance approve balance transfer transfer_from burn burn_from decimals name symbol
b4c89b13a7605bd46a2a7d2591233c949324176b085192753faf5345b19fe2ae,25,get_admin initialize mint set_admin allowance approve balance transfer transfer_from burn burn_from decimals name symbol
f679230253e596b02442b1ca20083da5efd7bf5dfe48a9814afb6fe8ebe58bc9,24,increment
b7fb589c52a3b0b6735c6b5568dc716f7fbe111d005e771351123992612b1ca8,21,sum sub mul div last_op get_op all_op
3a5c73cfb2c1eacf7018162d3f76733cd94e1cbc1c3d54ec639b04f864317391,17,init update_admin add_operator remove_operator is_operator set_native_token set_native_reserve get_native_config execute withdraw upgrade quote_pool_estimate_swap call cm __empty
7a04d2062707e08016c1e22dce117828b8a9e0413c824fe3ad2b6f4bdb624f28,16,__constructor update resolve upgrade __check_auth
b1401c70441d3edbb7f2e908008bc2246810a49ccb677e3ee6883f1fc3ce74a2,16,init update_admin add_operator remove_operator is_operator set_native_token set_native_reserve get_native_config set_marker_token get_marker_token execute withdraw upgrade quote_pool_estimate_swap call cm cm_marked __empty
2706c619fe73f0cf112473c6ee02e66c04e1c01c110b0c37b88d8eb509630c9f,15,exec
63053010c1bb05e3e06cc812614ea9fc1194c16375ee77ff847009b6741bbd9a,15,exec_op withdraw prepare_arb __constructor update_routers self_funded_arb
1dd8272b907213ccf489f87b178382d682fea3c79b7904532f613b7b54feb0c1,14,initialize execute withdraw
582bf9bebeed4ce75c1c69b0c8a693dd918794157ce54543f497eede0417e04d,13,init enable_protocol update_contract swap withdraw
b7bd55c11b781b0ccc43aa6e57f9dadf0660e9d1d4e27e0979ee43a407d454ae,13,deploy
1b375ad4f3f0489cb6ce6bfd8bde218db2e60be2c764bdcafa9358c38280cafc,12,initialize execute withdraw __check_auth
7bb6c39341e1afb6c97626d467db789b18fc0fe68de42b0d7593b7194751a663,12,a get_virtual_price calc_token_amount get_dy get_dy_underlying remove_liquidity_imbalance calc_withdraw_one_coin withdraw_one_coin ramp_a stop_ramp_a commit_new_fee apply_new_fee revert_new_parameters commit_transfer_ownership apply_transfer_ownership revert_transfer_ownership admin_balances withdraw_admin_fees donate_admin_fees kill_me unkill_me initialize_all pool_type initialize get_fee_fraction get_admin_fee share_id get_reserves get_tokens deposit swap estimate_swap withdraw get_info version upgrade initialize_rewards_config set_rewards_config get_rewards_info get_user_reward claim set_pools_plane get_pools_plane
8dd1c9138d1229b3b8acfbce7f8cd9f8298c04eae5d8c5d88a1b4e30b0d6f79c,12,__constructor mint set_admin allowance approve balance transfer transfer_from burn burn_from decimals name symbol
a2ad50d2c8125801b22a1f222937aa6b41e072d94a3dd6c0239b28bc37d4f938,12,end start upgrade set_house initialize set_attestor
58b1dfed4cb79ed8efc3f27d2aefdaab43845aaee25fee78f3938eed8f9eedbc,11,initialize_all pool_type initialize share_id get_tokens deposit swap estimate_swap withdraw get_reserves get_fee_fraction get_info initialize_rewards_config set_rewards_config get_rewards_info get_user_reward claim set_pools_plane get_pools_plane
7ecbee9a427e44aa6331519e00f4eeeab74f9fdbef91dfde3bcb0b2484ccd368,11,claim_fees get_router swap_chained __constructor claim_fees_and_swap get_fee_destination get_max_swap_fee_fraction swap_chained_strict_receive
da47c2f450a4f9d538d86d600d55149afd39d6672fdd1f30c68ad5be21cadad8,11,swap
24425de44536068efbbc426c4e399838216f1d11727bd47723bc0f897393cf98,10,s u sm __constructor
8d86f6f0da623cb89c2d37e44aac3ac58d4b6c72dfaac5f9f95d4f4666b44f75,10,init mint add_liquidity_invoke set_admin upgrade allowance approve balance transfer transfer_from burn burn_from decimals name symbol
b82f1d285f45f55d6a4d0f95bd8747d87481aae5688cdfb24706f6b43297f0f7,10,name renew symbol approve balance resolve upgrade owner_of register transfer get_price set_admin token_uri early_exit extend_ttl gift_renew initialize set_status fix_pricing set_records get_approved get_token_id is_available nft_transfer set_base_uri total_minted expire_domain set_subdomain transfer_from get_node_count approve_for_all reverse_resolve set_marketplace set_ustry_token get_pause_status get_vault_shares set_aquarius_pool get_operator_wallet is_approved_for_all set_aquarius_router set_operator_wallet marketplace_transfer get_domain_attributes set_pause_registrations set_aquarius_pool_contract
bfa1b9bf5fd7af9adaf6314b179d390d76ba579067cae92756cd5e45da00ecfb,10,initialize provide_liquidity swap withdraw_liquidity update_config upgrade query_config query_share_token_address query_stake_contract_address query_pool_info query_pool_info_for_factory simulate_swap simulate_reverse_swap query_share query_total_issued_lp update
d515d3b0bdfe1744f2983c719f885d344334cb750159ddfc298e2db7017afaa9,10,end start upgrade set_house initialize
13a855a753a88b2a111504a41b8a0206da83a83de3c860a27b9a7b068a5f330a,9,init mint add_liquidity_invoke swap_invoke set_admin upgrade allowance approve balance transfer transfer_from burn burn_from decimals name symbol
01f2a8dfc8931b795e0e4fd84dad865f73d96d4a8dfd61faea88908597d28e60,8,version init_admin apply_upgrade contract_name get_liquidity commit_upgrade revert_upgrade get_pools_plane set_pools_plane get_emergency_mode get_future_address set_emergency_mode apply_transfer_ownership commit_transfer_ownership revert_transfer_ownership
0a7e890763fef62d4a73c0f8924efea45369590d8ad44d93f32538ab1b2da6e3,8,a exec_op __constructor
10760a8accc50ee8b344d8d852e3556dd7df649910d9963fd3c23d591527c4c6,8,__constructor add_signer update_signer remove_signer update_contract_code __check_auth
5b45a2f4ccddbec804a2dd1f7fa2815f1ea4e30e530a6031a8b46067b7c8748e,8,__constructor update resolve upgrade
6b80c6d0eea4da650e27d02bcc26701395e319bd3ef986d3982981562588db3e,8,initialize swap_exact_tokens_for_tokens swap_tokens_for_exact_tokens get_protocol_id get_protocol_address
82b1418b2dce2e7b6a009ce3ef719cb93e77ada0d8d82f1a016f57bb634b9c59,8,asset balance deposit harvest registry withdraw initialize share_price total_shares share_balance
8eaec1cbb8b05e7fccd8b8fda2edfb8d332af76b7661e70502311b2e18fd4d5c,8,init enable_protocol update_contract strict_send
8f374b8b37de878d731777fd312deefdb078ff6ef3ceb69eb27e65a78aa5f2cc,8,get_tokens initialize set_tokens get_all_pos accept_admin remove_token propose_admin register_token get_token_count get_adapter_info get_token_at_index register_tokens_batch
a3e058553c921b60b4bdd907ff24eec8adb0cfbd9d0c2cbb5352aed94adcc3ed,8,execute_route
ac5d49297eba0f38caa1993314f824ad6a9df81295a7e2bba30969ff0a4428da,8,resolution price prices base decimals assets lastprice initialize block unblock set_admin
c090b009d6dca33b4cb17ee86c75d778c2b51b1a898fb3dcfe04002f6742feb5,8,pause is_game unpause upgrade add_game end_game get_admin get_epoch is_paused set_admin get_config get_player start_game cycle_epoch remove_game __check_auth __constructor update_config select_faction get_epoch_player get_current_epoch claim_epoch_reward
e649af92bcd05d18f60d5420da000f6096181d7d5055f2652ee80bd0f13a7fdd,8,plant work harvest __constructor upgrade pause unpause remove_block __check_auth
ef126be1af18a25bf4fff48b595ed3f755a1ed3232f55e39b16386a2a5faf338,8,init enable_protocol update_contract strict_send strict_receive
