wasm_hash,instance_count,instance_percent,rssdkver,rsver,source_repo,home_domain,error_cases,contract_functions,contract_events
"003710b383f9da7d650a7f719a7be479110266427817ebbed61d924505fcd7c7",56,0.0472,"23.5.3#d3e1ab2424388b10893b796b0c8e405c5edd03d2","1.89.0","","","Unauthorized,InvalidTickRange,InvalidLiquidity,InvalidAmount,InvalidSqrtPrice,InvalidFee,InvalidTickSpacing,TickOutOfBounds,PriceOutOfBounds,LiquidityOverflow,LiquidityUnderflow,DivisionByZero,MulDivOverflow,U128Overflow,I128Overflow,U64Overflow,U32Overflow,PoolNotInitialized,PoolAlreadyInitialized,PositionNotFound,InsufficientLiquidity,TickNotInitialized,TickNotSpacedCorrectly,PoolPaused,ObservationTooOld,TickLowerNotLessThanUpper,TickLowerTooLow,TickUpperTooHigh,InvalidPriceLimit,AmountShouldBeGreaterThanZero,NegativeAmount,InsufficientToken0,InsufficientToken1,InvalidFeeProtocol,ZeroPriceNotAllowed,ZeroLiquidityNotAllowed,OverflowInSqrtPriceCalculation,UnderflowInSqrtPriceCalculation,InsufficientRepayment0,InsufficientRepayment1,MustUseFlashExecutor,FlashNotLocked,IdenticalTokens,PoolAlreadyExists,FeeAmountAlreadyEnabled,InvalidFeeAmount,WasmHashNotApproved,PoolNotRegistered,UpgradesFrozen,UpgradesPermanentlyDisabled","__constructor,upgrade,migrate,version,schema_version,get_admin,transfer_admin,revoke_upgradeability,is_upgradeability_revoked,pause,unpause,is_paused,check_ticks,block_timestamp,initialize,swap,swap_prefunded,set_router_authorized,burn,collect,collect_protocol,flash_begin,flash_end,slot0,is_initialized,factory,token0,token1,fee,tick_spacing,flash_executor,get_protocol_fee_0,get_protocol_fee_1,get_tick_bitmap,liquidity,fee_growth_global_0_x128,fee_growth_global_1_x128,protocol_fees,ticks,get_position_fee_data,get_full_pool_state,get_pool_state_with_balances,snapshot_cumulatives_inside,observe_single,observe,poke_oracle,poke_oracle_with_hints,get_oracle_hints,get_checkpoint,get_oracle_status,mint,get_tick_bitmap_public,get_tick_bitmap_range_public,get_ticks_batch,quote_exact_input,quote_exact_output,positions","InitializeEvent,SwapEvent,MintEvent,BurnEvent,CollectEvent,CollectProtocolEvent,FlashBeginEvent,FlashEndEvent,UpgradedEvent,MigratedEvent,AdminTransferredEvent,UpgradeabilityRevokedEvent,PoolPausedEvent,PoolUnpausedEvent"
"011439f1c1c296fc69fbdd9b4f2086db13a8ba828d58cd599b4f5f593ca95b74",9,0.0076,"20.3.2#1d7f9bd8030f69070634bfb07394339824ceb399","1.76.0-nightly","","","NotInitialized,Initialized","initialize,add_member,bulk_add,remove_member,bulk_remove,get_admin,total,is_whitelisted,get_max_per_wallet,get_member_data,version",""
"01a5196f27c1e9f4b6088088f1cb168a2bcc84e8a8c8b3facc76342f46e58359",1,0.0008,"25.3.1#e50d95af029c83196dd122f0154bac3f1302394b","1.93.0","","","NotInitialized,AlreadyRegistered,DomainExpired,NotOwner,InvalidName,InvalidDuration,InsufficientPayment,DomainNotFound,Unauthorized,SubdomainLimitReached,ProductionLocked,GracePeriodActive,NotExpired,MarketplaceNotSet,BelowFloorPrice,TooManyRecords,NftNotFound,NotApproved,ApprovalExpired,RegistrationsPaused,NeedsUpgrade,BlacklistedName,ReservedName","name,symbol,approve,balance,resolve,upgrade,owner_of,transfer,get_price,set_admin,token_uri,early_exit,extend_ttl,initialize,set_status,fix_pricing,get_xld_sac,set_records,set_xld_sac,get_approved,get_token_id,is_available,set_base_uri,set_reserved,total_minted,__constructor,admin_reclaim,admin_restore,expire_domain,set_subdomain,transfer_from,get_node_count,set_avatar_nft,upgrade_domain,approve_for_all,reverse_resolve,set_blacklisted,set_marketplace,set_ustry_token,get_pause_status,get_vault_shares,transfer_by_node,get_domain_status,get_renewal_price,set_aquarius_pool,set_reserved_batch,admin_reclaim_batch,get_operator_wallet,is_approved_for_all,set_aquarius_router,set_operator_wallet,get_early_exit_quote,marketplace_transfer,renew_for_with_ustry,get_domain_attributes,set_blacklisted_batch,register_for_with_ustry,set_pause_registrations,gift_renew_for_with_ustry,set_aquarius_pool_contract","NftMintEvent,EarlyExitEvent,NftApproveEvent,NftTransferEvent,DomainExpiredEvent,DomainRenewedEvent,RecordUpdatedEvent,RegistryPauseEvent,StatusChangedEvent,DomainRegisteredEvent,NftApproveForAllEvent,DomainTransferredEvent,MarketplaceTransferEvent"
"01d76265b4cabdbcd4b38be35c2431988dc369a75c0b4605397bd03b162dbe72",0,0.0000,"21.7.6#c6cca8f8cf75618c24ceb5d9ffdfe735486ae1e9","1.76.0-nightly","","","NotInitialized,Initialized,TokenLockNotExist,TokenLockKeyExist,TokenLockInProgress,TokenVestingNotExist,TokenVestingKeyExist,SPInvalidShareAmount,SPInsufficientBalance,SPInvalidLockPeriod,StakingCampaignInvalid,StakingCampaignNotExist,StakingCampaignKeyExist,StakingCampaignMaxTiersLimit,StakingCampaignPaidTierRequired,StakingCampaignInvalidTier,StakingCampaignInvalidUpdateInterval,StakingCampaignNotStarted,StakingCampaignEnded,StakingCampaignActive,StakingCampaignInvalidReferralData,StakingDataInvalid,StakingDataNotExist,StakingDataExist,StakingDataMaxTierUnlockLimit,StakingDataMaxPriceLimit,StakingDataMinStakeLimit,StakingDataInvalidUnstakeAmount,AirdropCampaignInvalid,AirdropCampaignNotExist,AirdropCampaignKeyExist,AirdropCampaignNotStarted,AirdropCampaignEnded,AirdropCampaignActive","initialize,upgrade,version,get_user,unlock_tokens,claim_vested,sp_stake,sp_unstake,sp_lock_shares,staking_new_campaign,staking_change_tier_price,staking_unlock_tier,staking_extend_tier,staking_stake,staking_unstake,staking_claim,staking_claim_remaining_rewards,staking_get_campaign,airdrop_new_campaign,airdrop_participate,airdrop_claim,airdrop_get_campaign",""
"022a412d636be65024ce1f0b4e92583a2c0cc3e42adeaedfbd8cdac14d8c8409",1,0.0008,"25.1.1#94c2a3b3a5ded6b9cf9cef0c207bf8804f3eb294","1.93.1","github:AquaToken/soroban-amm","","AnotherActionActive,NoActionActive,ActionNotReadyYet","version,init_admin,apply_upgrade,contract_name,get_liquidity,commit_upgrade,revert_upgrade,get_pools_plane,set_pools_plane,get_emergency_mode,get_future_address,set_emergency_mode,apply_transfer_ownership,commit_transfer_ownership,revert_transfer_ownership",""
"026a8dd9189d27f7d0356f546fedc1a84b8d5fb17727315d5022e5013c98ad6d",1,0.0008,"21.7.7#5da789c50b18a4c2be53394138212fed56f0dfc4","1.85.0","","","NumberMustBeOdd","hello,from,void,val,u32_fail_on_even,u32,i32,u64,i64,strukt_hel,strukt,simple,complex,address,bytes_,bytes_n,card,boolean,not,i128,u128,multi_args,map,vec,tuple,empty_tuple,option,u256,i256,string,tuple_strukt,tuple_strukt_nested,timepoint,duration",""
"02ca8ef6fe25c0b08c6651f6486fc3bc757db319816202092983ba51b00f0a45",1,0.0008,"26.0.0#e1bf74ba6c3ddb591593f5eb5dfb85458ff714c1","1.95.0","","","Uninitialized,Unauthorized,InvalidArgument,Overflow,PendingAdminMissing,NotFound,SwapNotRegistered,TokenMessengerNotRegistered,RelayerNotRegistered,DestinationTokenDisabled,MessageAlreadyUsed,MessageNotReceived,FeeTooHigh,InsufficientWithdrawableAmount,OracleNotConfigured,ReceiptLowerThanPayout,OracleChainNotConfigured,InsufficientGasAmount,DomainNotRegistered,RemoteRouterNotSet,RemoteMessengerNotSet,OnlyRouter,MessageAlreadyReceived,UnknownSourceDomain,InvalidRemoteSender,InvalidDestinationCaller,InvalidMintRecipient,UnsupportedCctpVersion,MessageTooShort,AmountOutOfRange,WithdrawExceedsAvailable,MessageTransmitterRejected,SwapSlippageExceeded,SwapUnknownPair","swap,admin,quote,set_router,accept_admin,__constructor,pending_admin,propose_admin,soroswap_router","Swapped,AdminAccepted,AdminProposed,RouterChanged"
"02cf88e6e3e9981e99094e3cc033e17fb565165cc57af1082cf22bb049837c7c",0,0.0000,"21.7.6#c6cca8f8cf75618c24ceb5d9ffdfe735486ae1e9","1.76.0-nightly","","","NotInitialized,Initialized,TokenLockNotExist,TokenLockKeyExist,TokenLockInProgress,TokenVestingNotExist,TokenVestingKeyExist,SPInvalidShareAmount,SPInsufficientBalance,SPInvalidLockPeriod,StakingCampaignInvalid,StakingCampaignNotExist,StakingCampaignKeyExist,StakingCampaignMaxTiersLimit,StakingCampaignPaidTierRequired,StakingCampaignInvalidTier,StakingCampaignInvalidUpdateInterval,StakingCampaignNotStarted,StakingCampaignEnded,StakingCampaignActive,StakingCampaignInvalidReferralData,StakingDataInvalid,StakingDataNotExist,StakingDataExist,StakingDataMaxTierUnlockLimit,StakingDataMaxPriceLimit,StakingDataMinStakeLimit,StakingDataInvalidUnstakeAmount,AirdropCampaignInvalid,AirdropCampaignNotExist,AirdropCampaignKeyExist,AirdropCampaignNotStarted,AirdropCampaignEnded,AirdropCampaignActive","initialize,upgrade,version,get_user,unlock_tokens,claim_vested,sp_stake,sp_unstake,sp_lock_shares,staking_new_campaign,staking_change_tier_price,staking_unlock_tier,staking_extend_tier,staking_stake,staking_unstake,staking_claim,staking_claim_remaining_rewards,staking_get_campaign,airdrop_new_campaign,airdrop_participate,airdrop_claim,airdrop_get_campaign",""
"02e9f32323236b7288dc2b3d4652db678dcd876301fb3852d9cfb7cfaf54e0d2",1,0.0008,"20.4.0#70b12eb8c6af0593888154700f0ef68897521708","1.88.0","","","Unimplemented,Initialized,Uninitialized,Unauthorized,InvalidArg,InvalidChainId,InvalidOtherChainId,GasUsageNotSet,BrokenAddress,NotFound,TokenInsufficientBalance,CastFailed,U256Overflow,ZeroAmount,PoolOverflow,ZeroChanges,ReservesExhausted,InsufficientReceivedAmount,BalanceRatioExceeded,Forbidden,UnauthorizedStopAuthority,SwapProhibited,AmountTooLowForFee,BridgeToTheZeroAddress,EmptyRecipient,SourceNotRegistered,WrongDestinationChain,UnknownAnotherChain,TokensAlreadySent,MessageProcessed,NotEnoughFee,NoMessage,NoReceivePool,NoPool,UnknownAnotherToken,WrongByteLength,HasMessage,InvalidPrimarySignature,InvalidSecondarySignature,NoGasDataForChain","initialize,send_message,receive_message,set_gas_usage,add_secondary_validator,remove_secondary_validator,set_primary_validator,set_admin,set_gas_oracle,set_other_chain_ids,withdraw_gas_tokens,get_config,has_sent_message,has_received_message,get_sent_message_sequence,get_gas_usage,get_transaction_cost,get_admin,get_gas_oracle,upgrade",""
"02ed06736d7f40803f5f340c269e9c6a1706a17bed892c9bcf4ce1dd5f13e524",1,0.0008,"25.3.0#dcbea44513feb7734af6b6c4aced2c4a7a2715d0","1.94.0","","","AlreadyInitialized,NotInitialized,ContractPaused,InsufficientBalance,InvalidAmount,PayLinkNotFound,PayLinkAlreadyPaid,PayLinkCancelled,PayLinkAlreadyExists,PayLinkExpired,NotPayLinkCreator,FeeTooHigh,UsernameTaken,UsernameNotFound,UserAlreadyRegistered,UserNotFound,SelfTransfer,NonZeroBalance,InvalidUsername,InvalidTokenId,BelowMinWithdrawal,DepositAlreadyProcessed,NoPendingAdmin,BatchLengthMismatch,NoteTooLong,BatchTooLarge","pause,balance,deposit,unpause,upgrade,fee_rate,transfer,withdraw,get_admin,is_paused,initialize,get_paylink,pay_paylink,accept_admin,get_username,set_fee_rate,sweep_excess,is_registered,propose_admin,register_user,cancel_paylink,create_paylink,get_usdc_token,set_usdc_token,update_address,deregister_user,extend_user_ttl,get_fee_treasury,resolve_username,set_fee_treasury,get_pending_admin,deposit_by_address,extend_paylink_ttl,get_min_withdrawal,set_min_withdrawal,admin_cancel_paylink,batch_register_users,batch_extend_user_ttl,is_address_registered,total_internal_balance",""
