instance,wasm_hash,token_id_type,functions,events
"CC6JME4U4OYI2EHBWTONE6CGQ6FIF24DV3AB3JYFK7DPHCYCDFVNEXDX","0191f55837f76fa8d2c1d5374000c80cd0b33dfaddafcf27b50c7c8b1547328a","u32","burn,mint,name,symbol,approve,balance,owner_of,transfer,burn_from,get_owner,token_uri,get_approved,get_token_id,total_supply,transfer_from,__constructor,approve_for_all,accept_ownership,get_owner_token_id,renounce_ownership,transfer_ownership,is_approved_for_all",""
"CDA7ZJIH4KRE2R5OCDGC3BTG3XIFAGM7ME2SBYQD5UKJT4IF33GZMQ55","01aa22418312a9c5137150961bdf2a43eadaafe5adf935eaedab622555df324f","u32","__constructor,update_metadata,mint_default,mint_custom,get_credential,get_owner_token,balance_of,custom_token_uri,token_metadata,get_global_metadata,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,token_uri,name,symbol,burn,burn_from",""
"CC64BBFHI6WVBUARNNMJN4LMFSO4DUI3WCQ7EFQKVXGCXIO3JGZTABXH","027bd328b31767fae389ef191b159d2f25eecf86aaeefd6c1481feca369eb74c","string","initialize,mint,batch_mint,transfer,owner_of,get_metadata,get_admin,transfer_admin,upgrade",""
"CBAJZYWANK6LQ5BZTT4VSRYIC6P4PFJBABK34MNRBYBSJGM55XEMO5FU","02e7000afab3e6b6856dd6af979591df4aad29c10aa6940019da699e222b58cb","u32","burn,mint,name,admin,pause,exists,symbol,airdrop,approve,balance,unpause,upgrade,version,owner_of,transfer,is_minter,token_uri,tokens_of,all_tokens,batch_mint,has_minted,public_mint,get_approved,grant_minter,is_soulbound,set_base_uri,total_minted,total_supply,__constructor,revoke_minter,set_token_uri,transfer_from,transfer_admin,approve_for_all,set_public_mint,post_upgrade_init,is_approved_for_all,is_public_mint_active,set_collection_soulbound",""
"CBK4KAHLHNWOF4HEZFY2W57NYMSC4DLZGLGCM4HZUPAUU3PDPM3IMRS4","089c7a8ffa046ad4097b12bdadada4255e5a4c5b2420415c4f6dafc5db6e72d6","string","initialize,mint,check,transfer_from,owner_of,set_base_uri,get_base_uri,get_token_uri",""
"CBKR5IUKZBWHLOTZKZHWXUVYH3UCI4A4VJ66WXZ5EAAPBUX3BHA7G7T3","09cfe695e763159a6bae06f3db549290ff2327510c1c70e847a4ebeeb8cd073a","u32","burn,mint,name,admin,symbol,migrate,upgrade,version,owner_of,transfer,set_admin,token_uri,tokens_of,extend_ttl,initialize,total_burned,total_minted,total_supply,__constructor,set_token_uri,extend_token_ttl",""
"CD5RMCUV3ZZ4N5MVNTCDROA6J62S44CC25LZ632ZCBZXWBQCQNTNCICS","0b217488c9f84a5d49ace411129b4c9a83e0cc6e430667a6ea4a351b3b8061e7","u32","burn,mint,name,admin,pause,exists,symbol,approve,balance,unpause,upgrade,version,owner_of,transfer,burn_from,is_frozen,is_minter,token_uri,tokens_of,all_tokens,batch_mint,max_supply,set_frozen,get_approved,grant_minter,is_soulbound,mint_with_id,royalty_info,set_base_uri,total_supply,__constructor,revoke_minter,set_soulbound,set_token_uri,transfer_from,batch_transfer,get_attributes,mint_soulbound,set_attributes,transfer_admin,approve_for_all,mint_with_royalty,set_token_royalty,is_approved_for_all,set_default_royalty,remove_token_royalty",""
"CCIP47L5YFBTIQVYJVXZ2KXP3Z33CYJDOQIQAGIHEDFFHXVVH3A4NWNH","0b913ee4752e49d33714e7b90c206a328702a32c8849a7c6c2cd0ac8e70d65f7","u32","burn,mint,name,ping,symbol,approve,balance,upgrade,owner_of,transfer,burn_from,get_image,get_owner,set_image,token_uri,max_supply,get_approved,royalty_info,total_minted,__constructor,transfer_from,approve_for_all,accept_ownership,renounce_ownership,transfer_ownership,is_approved_for_all,set_royalty_recipient","RoleGranted,RoleRevoked,AdminRenounced,RoleAdminChanged,AdminTransferCompleted,AdminTransferInitiated,OwnershipTransfer,OwnershipRenounced,OwnershipTransferCompleted,SetRoot,SetClaimed,Paused,Unpaused,ConsecutiveMint,Burn,SetTokenRoyalty,SetDefaultRoyalty,RemoveTokenRoyalty,Mint,Approve,Transfer,ApproveForAll,ModuleAdded,ModuleRemoved,DocumentRemoved,DocumentUpdated,KeyAllowed,KeyRemoved,ClaimRevoked,SignaturesInvalidated,ClaimAdded,ClaimChanged,ClaimRemoved,Burn,Mint,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,IssuerTopicsUpdated,TrustedIssuerRemoved,IdentityStored,CountryDataAdded,IdentityModified,IdentityUnstored,IdentityRecovered,CountryDataRemoved,CountryDataModified,TokensFrozen,AddressFrozen,ComplianceSet,TokensUnfrozen,RecoverySuccess,IdentityVerifierSet,TokenOnchainIdUpdated,ClaimTopicsAndIssuersSet,TokenBound,TokenUnbound,Deposit,Withdraw,Burn,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Mint,Approve,Transfer"
"CCIP47L5YFBTIQVYJVXZ2KXP3Z33CYJDOQIQAGIHEDFFHXVVH3A4NWNH","0bc09721311516e6b7e43421a5e25ad45a438d1438d1d4aa423ea7202a5bea63","u32","burn,mint,name,ping,symbol,approve,balance,upgrade,owner_of,transfer,burn_from,get_image,get_owner,token_uri,max_supply,get_approved,royalty_info,total_minted,__constructor,transfer_from,approve_for_all,accept_ownership,renounce_ownership,transfer_ownership,is_approved_for_all,set_royalty_recipient","RoleGranted,RoleRevoked,AdminRenounced,RoleAdminChanged,AdminTransferCompleted,AdminTransferInitiated,OwnershipTransfer,OwnershipRenounced,OwnershipTransferCompleted,SetRoot,SetClaimed,Paused,Unpaused,ConsecutiveMint,Burn,SetTokenRoyalty,SetDefaultRoyalty,RemoveTokenRoyalty,Mint,Approve,Transfer,ApproveForAll,ModuleAdded,ModuleRemoved,DocumentRemoved,DocumentUpdated,KeyAllowed,KeyRemoved,ClaimRevoked,SignaturesInvalidated,ClaimAdded,ClaimChanged,ClaimRemoved,Burn,Mint,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,IssuerTopicsUpdated,TrustedIssuerRemoved,IdentityStored,CountryDataAdded,IdentityModified,IdentityUnstored,IdentityRecovered,CountryDataRemoved,CountryDataModified,TokensFrozen,AddressFrozen,ComplianceSet,TokensUnfrozen,RecoverySuccess,IdentityVerifierSet,TokenOnchainIdUpdated,ClaimTopicsAndIssuersSet,TokenBound,TokenUnbound,Deposit,Withdraw,Burn,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Mint,Approve,Transfer"
"CC2RSPG42RRIX6M24NEFI6KIWCTT5NZPXRFYKHV5MBV6CPFMSP3CWTVV","0bebc24948941497ddd871076fcd6906b26d978fe803dd7ef7877dad6746431e","u32","name,symbol,approve,balance,upgrade,owner_of,transfer,token_uri,tokens_of,extend_ttl,initialize,public_mint,get_approved,is_soulbound,total_minted,__constructor,set_token_uri,transfer_from,approve_for_all,is_approved_for_all,public_mint_soulbound","NftMintEvent,NftApproveEvent,NftTransferEvent,NftApproveForAllEvent"
