function,count
vec_new_from_linear_memory,2150
put_contract_data,2092
has_contract_data,2091
get_contract_data,2085
require_auth,2035
symbol_new_from_linear_memory,1962
map_new_from_linear_memory,1695
obj_from_i128_pieces,1664
call,1655
obj_to_i128_hi64,1584
obj_to_i128_lo64,1584
map_unpack_to_linear_memory,1582
bytes_len,1546
obj_cmp,1418
get_current_contract_address,1415
vec_len,1383
vec_new,1370
vec_get,1363
contract_event,1220
update_current_contract_wasm,1217
obj_to_u64,1158
extend_current_contract_instance_and_code_ttl,1119
obj_from_u64,1110
fail_with_error,1016
extend_contract_data_ttl,992
vec_push_back,954
get_ledger_timestamp,879
string_new_from_linear_memory,863
get_ledger_sequence,668
obj_from_u128_pieces,646
obj_to_u128_hi64,644
obj_to_u128_lo64,644
del_contract_data,643
bytes_new_from_linear_memory,573
vec_unpack_to_linear_memory,563
map_new,455
map_put,451
map_has,441
bytes_append,433
map_get,417
symbol_index_in_linear_memory,382
vec_first_index_of,355
serialize_to_bytes,354
authorize_as_curr_contract,351
bytes_new,349
bytes_slice,319
get_max_live_until_ledger,316
compute_hash_sha256,308
bytes_front,282
bytes_copy_to_linear_memory,243
strkey_to_address,219
u256_val_from_be_bytes,203
map_len,196
string_len,194
vec_del,191
try_call,190
vec_put,188
u256_val_to_be_bytes,164
map_key_by_pos,161
map_val_by_pos,161
vec_back,151
create_contract,150
u256_add,146
u256_div,143
u256_mul,143
map_del,138
compute_hash_keccak256,136
bytes_get,134
create_contract_with_constructor,125
vec_front,118
map_keys,108
obj_from_i64,86
require_auth_for_args,86
string_copy_to_linear_memory,86
bytes_copy_from_linear_memory,82
u256_rem_euclid,79
i256_val_from_be_bytes,78
i256_sub,77
i256_val_to_be_bytes,77
i256_div,76
i256_mul,75
u256_sub,74
i256_rem_euclid,72
vec_push_front,69
deserialize_from_bytes,65
obj_to_i64,65
address_to_strkey,61
bytes_push,61
bytes_put,60
verify_sig_ed25519,58
recover_key_ecdsa_secp256k1,53
prng_u64_in_inclusive_range,47
vec_insert,46
i256_add,42
get_contract_id,40
map_values,38
vec_pop_front,35
verify_sig_ecdsa_secp256r1,35
bls12_381_multi_pairing_check,31
bls12_381_g1_add,30
bls12_381_hash_to_g2,30
prng_bytes_new,30
vec_append,28
bn254_g1_add,24
bn254_g1_mul,24
bn254_multi_pairing_check,24
vec_binary_search,22
upload_wasm,20
log_from_linear_memory,18
string_to_bytes,18
u256_shl,16
get_address_executable,15
vec_pop_back,15
extend_contract_instance_and_code_ttl,14
poseidon2_permutation,12
u256_shr,12
get_address_from_muxed_address,8
get_id_from_muxed_address,8
vec_slice,8
create_asset_contract,7
extend_contract_code_ttl,6
extend_contract_instance_ttl,6
obj_from_u256_pieces,5
prng_reseed,5
prng_vec_shuffle,5
get_asset_contract_id,4
get_ledger_network_id,4
i256_pow,4
bytes_to_string,3
vec_last_index_of,3
bls12_381_hash_to_g1,2
bytes_back,2
u256_pow,2
bls12_381_g1_mul,1
