function,count
bls12_381_check_g1_is_in_subgroup,0
bls12_381_check_g2_is_in_subgroup,0
bls12_381_fr_add,0
bls12_381_fr_inv,0
bls12_381_fr_mul,0
bls12_381_fr_pow,0
bls12_381_fr_sub,0
bls12_381_g1_is_on_curve,0
bls12_381_g1_msm,0
bls12_381_g2_add,0
bls12_381_g2_is_on_curve,0
bls12_381_g2_msm,0
bls12_381_g2_mul,0
bls12_381_map_fp2_to_g2,0
bls12_381_map_fp_to_g1,0
bn254_fr_add,0
bn254_fr_inv,0
bn254_fr_mul,0
bn254_fr_pow,0
bn254_fr_sub,0
bn254_g1_is_on_curve,0
bn254_g1_msm,0
bytes_del,0
bytes_insert,0
bytes_pop,0
dummy0,0
duration_obj_from_u64,0
duration_obj_to_u64,0
get_ledger_version,0
i256_shl,0
i256_shr,0
obj_from_i256_pieces,0
obj_from_u256_pieces,0
obj_to_i256_hi_hi,0
obj_to_i256_hi_lo,0
obj_to_i256_lo_hi,0
obj_to_i256_lo_lo,0
obj_to_u256_hi_hi,0
obj_to_u256_hi_lo,0
obj_to_u256_lo_hi,0
obj_to_u256_lo_lo,0
poseidon2_permutation,0
poseidon_permutation,0
protocol_gated_dummy,0
symbol_copy_to_linear_memory,0
symbol_len,0
timepoint_obj_from_u64,0
timepoint_obj_to_u64,0
