contract_hash,original_size,success,optimized_size,size_diff,size_diff_percent
5f7d2d3b842ed82de5d15c530495ffd9f501869286dc8144c4fa058d84141806,7907,true,2058,-5849,-73.97242949285443
b46b42a33962b151958dea1538168ac65cfbaede8951ead355fe749b1191f602,7665,true,2118,-5547,-72.36790606653621
e7dce233093b26b135e3ed6a29684e139bcb5dcfaa44b4b6c077587b920e25da,1858,true,662,-1196,-64.3702906350915
3e4e179ebb6bcfb8b32b19c1ac82ec732069a28ef672283a46b2246149c7c8ee,2119,true,810,-1309,-61.77442189712128
cc16542c731002546ee1a82da2910d83f9646057eb32ce0af6b45ba444d41f0b,4630,true,1780,-2850,-61.55507559395248
de453b6db413a3793b8b944121a0b989c7acf160cd6df078c0dc92f720f81279,4744,true,1833,-2911,-61.36172006745363
606b6c95ae37aa0d0dc763d67f3073e1ee58371222715ab6e3c55fd62af61659,4742,true,1833,-2909,-61.34542387178406
6b9ef0f570e482869fc5b42bad0e045a20c0c813bdd9e2fd25849dcf62919535,4739,true,1833,-2906,-61.32095378771892
30bab567295b20710cc5cfda64241eb2daf23f93d53da0f342ba85e6874caa20,11909,true,4855,-7054,-59.2325132252918
f7083c81e2f786fce952f0cbae3ce8c78635524c59c568cd3a93e560c056c941,18306,true,7571,-10735,-58.64197530864198
6209e220942b05d0bf2b4498accad538bc7b4a1602a19440627bc2b1a2197567,10478,true,4343,-6135,-58.55125023859515
db0822038b22e09f8b37b7e4efc43c881b26a8abe1ecfbec8a19f5284218c509,6390,true,2754,-3636,-56.901408450704224
0813658dd1c3634412cfc9b743ac2e757b34ff34e4edcb5c213164b2ded932d0,6586,true,2872,-3714,-56.39234740358335
abc3346b518a2f96b20129942db9ce905a6f3dae0c0dfd15aa2d38f4a08fb843,5010,true,2188,-2822,-56.327345309381236
d5a86eb88cb98007ebb6e2e72509a3c21c07e478d027b0230d44c778158dd409,12538,true,5880,-6658,-53.10256819269421
55dfd593655a0a76c398e70b9c0d48b213f75d1a0bf44da7bbcd4612280b88a2,26915,true,12638,-14277,-53.04477057402936
202d2b0de5404555302d1ea79f1a13ccede17c9d5ea9c74f711fc8759bfc17d4,22367,true,10506,-11861,-53.02901596101399
77432db78337e52c308a8c85ad96db0dc1e011dc32ce976bd742c007e6df7e23,1889,true,890,-999,-52.88512440444679
72d85f7c9c7642c827418a89cf9d71bcbce4241a617d5c308bcae02853f4ca46,26955,true,12728,-14227,-52.780560192914116
f1a8f25fe250ccf10ef6c3d108cae257248ca0128958b039097d22ac8f42cf10,23205,true,11041,-12164,-52.419737125619484
bec1d93db934a369f4aefbbc40a4429e0f0bb0a275ab4dd82ecb6f2fe3bc8829,7312,true,3525,-3787,-51.79157549234136
513e50e2ff198c8ce888969035029a0e2d5ee001d040d1d19feb3486c3c7cea2,7323,true,3536,-3787,-51.71377850607675
96268a9b77af16bbd1685b4fb9706343c0ffb08dfbeaeb2dcc0cf7673f77e733,7012,true,3431,-3581,-51.069594980034225
28d0d7af7fb4f187446c33132df6b1f8f0d873ca270957a31be99cf4f0a4a167,30241,true,14965,-15276,-50.51420257266624
08c3cd63ebfdd85544a3aa1ed084959d7b33929006a712e1701cb44d60a33cfc,6319,true,3146,-3173,-50.21364139895553
fc560f0a119ada47bfa3e4441874fabac22d5c915c2b2584df620e8925616142,5150,true,2580,-2570,-49.90291262135923
688bb9ae32c2b30fdf3f253d93e8a4b5e4867b0114c466649979390335f4e216,39332,true,19771,-19561,-49.73304179802705
77a724825352014515b4fa468c893850a55caae88a9e0dcaf19bcd43cced1b97,5118,true,2581,-2537,-49.57014458772958
e3ef1bbc67005f775a3e46766a630651490d6e5f69c6d9b8092af2eae8f9749c,40498,true,20433,-20065,-49.54565657563336
523cf5b01cc37aabc90170f75e054032a131a3b2ff04c7fb706970c03d150092,35350,true,17863,-17487,-49.46817538896747
d4f33c5774b7ff9a1436edee889184f7c6bba83c0f63b2c0d50607235120460e,40665,true,20564,-20101,-49.4307143735399
76a94c6d4dab410b5504b8a04dd221ac2389268997116797942cc063d2c1ecb7,40664,true,20564,-20100,-49.4294707849695
06ceb0d4e4649dd5eb5d3f676285a1de20fc856bc260444964e6097c1233d015,40663,true,20566,-20097,-49.42330865897745
421596d7e19b694f20c5cc3da11920b2be87bf38d6d080f803f3c2310006a97a,38339,true,19393,-18946,-49.41704269803594
e12018de50d4f09fe44f4cef55cd3e83496415b9420d7f8786e864377d437b74,40739,true,20610,-20129,-49.40965659441813
00fd3b7f10ee92deefad31f897ea764e2ad86cd12925fcad9ae98131a240a9bb,40690,true,20593,-20097,-49.39051363971492
c3cc65cebd165bf226cebdea87bb7bbb729aa224fb65f670b7ee46e231649c70,40690,true,20593,-20097,-49.39051363971492
55fdea6af91aff4211a4373bc3e0f35d0d055c4cf7d83afcf20947f98b2a5555,35918,true,18225,-17693,-49.259424244111585
b69b2e2a3a63517181281dafa087e323a87ed81f72e13002a901f221d6637edb,40926,true,20782,-20144,-49.22054439720471
ba085f2ca549af1f01826336f69132389e2989519148200d897aa0772f6418d8,18355,true,9325,-9030,-49.19640424952329
4a47dd22733bb7d2e88186e8941ddd9da9493c8b91b586deac293d21f88a2fdf,40952,true,20808,-20144,-49.18929478413753
0b52f7682e7063b9470037dc59b2480e2fe877651cb0db9279800e0f85e6a9da,40466,true,20587,-19879,-49.12519151880591
3e37ff89fa95f898cc1f0caf0023227f34652b191189bde59df2d02d4aa0f7bb,41197,true,20980,-20217,-49.07396169624001
6e5b1644c9058f25f77fe28456d57bfabe5aef6165deb9690be67114774bd23b,5007,true,2550,-2457,-49.07130017974835
59de8611f2e880e8586e5f6f19ac1d3c3174a09aaf79c768c4d021722d7a8a21,36493,true,18612,-17881,-48.998438056613594
43c959b1e8052424336babfba1038dc8007dd19289f99cb0cd6d567526409b58,38018,true,19410,-18608,-48.94523646693671
d67dbd139c692237703b0f64adae6d7e87b5f1b559b4eee549baa047324f37be,4893,true,2519,-2374,-48.518291436746374
0eee9cf07be1ce8503c9885a87265a3af03aaf04761c8a5d95140648c1c73c54,13105,true,6765,-6340,-48.37848149561236
72d16dc10294c385f120ae19a49fee0f129aa75033750a3e7f9cfdd32a3c824a,15149,true,7846,-7303,-48.20780249521421
9b8177905be5a08c95a9b4da071b5fc752da4f55a3ece724cbc3f446c9d6c775,45588,true,23674,-21914,-48.069667456348164
0144d0db1c2e48877b7b575488f0c3a7bf5cf188bf6d303ea756865b3889b8e8,12972,true,6740,-6232,-48.04193647856923
9060beb772d261efed6d633eb778fdc13314ee1140c4d376dc6025580aa7163f,1114,true,581,-533,-47.84560143626571
e4ecbb8f6b726245625dfac5142d7004aef5ca08c27f9577e1f8879d80127fc2,46371,true,24190,-22181,-47.83377541998232
556e629e01bf3a5cbeadb809de27d12f4c4d5201a12f5695346e93c19df64ef5,46608,true,24364,-22244,-47.72571232406454
f0e9f9eba422df28f3c84496eaff241be20e370c8f22a3047f77a4c82fff9ce3,46861,true,24514,-22347,-47.68784276904036
b083952f3e2b8559dd487f6048a27c0204073fc09b6c96ea586b52dc02cc1bdf,47794,true,25037,-22757,-47.6147633594175
442a63ca1d86aac01296ba2db26222a09f6e9ac1b6df2a8ed62806b2d1653726,35973,true,18878,-17095,-47.521752425430186
de81128df5889eca86e736ac3c8e353609f5439bd60fec83ea50f471dfd848ae,10764,true,5650,-5114,-47.51021924934968
eb13c9819b61fffe6157a3907212a3016d9dcb2457d9092daf6568c748a8771f,47176,true,24770,-22406,-47.49448872307953
8f3ef7af94391e2f7f52e1daa2741d83c863532a262754a8f4e18b431a4275f5,47231,true,24892,-22339,-47.29732590883106
e51975d6a078508be1a4532f02ed0c78919f98174f7c4191bac6b08c403035f8,9032,true,4768,-4264,-47.20992028343667
3b0c0f94ca7857ae42982da4116e53fb80c33b786a950778e7c5146590624cd1,48408,true,25579,-22829,-47.159560403239134
9dd8c6edc028be53b3016caccb9b60f98881ed8d50c3cb82a2650a1a219b21b0,13360,true,7073,-6287,-47.058383233532936
f4b38fe7cefb4c3d71f3e7d82e8a375f32984ebc3f8c8226ab0905ce204d697f,35729,true,18985,-16744,-46.863892076464495
f48923f35b87250e5058d47cafa946cb332bcc5277ab6f160d6b93ab2b0436f9,6876,true,3661,-3215,-46.75683536940081
154791d4a0dc95647fc97ccb23d2de81ca03fffa923ac264abae2d183e70adb8,9313,true,4961,-4352,-46.73037689251584
531cf29e9893351a579a14a316c89a6ef8cf9ecfa3078049d36079be83c25d81,1030,true,551,-479,-46.504854368932044
cc74acb56fd01ef560b5d443cd58fe11d5acbece0e4001612ebb31020fc92f97,47193,true,25572,-21621,-45.813997838662516
8438449c4cacbeae6e42987040cb1b5de41cd462bfcea2925dd750dfb54c9979,1098,true,597,-501,-45.62841530054645
320d8f763c051f16de91f453c925d1b6a80d693f5e064e797a2be0fefc473f4b,31850,true,17380,-14470,-45.431711145996864
af5e45ae0a21eb1be84453e06a08365820e03d644e8155e27469a002fabafadc,48329,true,26567,-21762,-45.0288646568313
2a26cfd01ff6874039c8e5eb001dc24b13ced4caff922b5ea7cd14cb0cb42e7c,12217,true,6737,-5480,-44.85552918064992
5e73da950717eee3b5a32421ba45f5f65c0e37a495bf5d518643900909ae716e,48332,true,26678,-21654,-44.80261524455847
2bf6acd66b0b6319dd2e16558a52312f5d964c3fe1ec9a9e796e60fa82f4c965,46537,true,25792,-20745,-44.577433010292886
92a3e902b97bb2fc4ff1414922c1a2b99b8ae2ff9883e04df6ad76cbb96b49b4,46924,true,26186,-20738,-44.19486829767283
017ae0d7e6c2141df9ea927a715b3152f0cde31e202c9c3bb7cc0e745616beb6,47165,true,26402,-20763,-44.022050249125414
848e901e7b141af830c87227c4becb05abbfdaa6f97657dd29e166383cc8894e,31706,true,17755,-13951,-44.001135431779474
bad20d5456460200b24e3d94cc9d742cf8dacb58ed97042cbcab2f47176c4ca0,43404,true,24350,-19054,-43.89917979909686
a99a9d8f7a795fbcbdf995290445a6f72f1d5afc0b0c3bcb17a5a0c14daa1d72,20297,true,11389,-8908,-43.888259348672214
6ebb55442124c605b87b4386b87e5ca520f3df70e38a54174c03d573a5455839,1243,true,698,-545,-43.845534995977474
0449759c767cbaae16bee7b10fa5aa9f6e9ef25ff5dd5607e39d7b9d100417bf,42385,true,23985,-18400,-43.41158428689395
f594f8e4386eef6594afce02bdb52e543ca7a43bce14921f6566359eaa4a335c,41497,true,23834,-17663,-42.56452273658336
7f487a22b00154beec9fd1669d3e71e5779e290978f8898e29c07ee80f5dc0a8,20341,true,11696,-8645,-42.50036871343592
fd467fae9029ada13c4d3c1fd55117494c19c4a119917ce8f06ecc176228acdd,25645,true,14762,-10883,-42.437122246051864
12fd219457b92f1de40da737aac2055d18ad9b2d97af4827b9b16ff1ad5ad725,45107,true,26005,-19102,-42.348194293568625
5afd1577414b3183f73b1bff0b53611ab7ba71fc3948c874e588d56496a1677d,45178,true,26067,-19111,-42.30156270751251
93f5d2b314e4d56a5b8b900ebf3af5b640315008d6a7293004018d167f535542,45169,true,26062,-19107,-42.30113573468529
7ebff3ba5016f7572e3cb5655deb31c4814a18008780f160091b0eb56cf87157,45177,true,26067,-19110,-42.30028554352879
964d30c5347fc975dad81d84634b22bb578b9d0e733f13a91b44ecd459001342,45124,true,26159,-18965,-42.02863221345625
bfb64fd1012d945e481df81d6849d742ee8c70f2043651d1be96f1f40ecdb2e7,45123,true,26159,-18964,-42.02734747246416
d07941bef95ad91e9e5f64fa1ecfad57ca7aacf1cc3cd0e54f1dfa0859b0f6fb,45188,true,26218,-18970,-41.98017172700717
b658588a255ba6f6cdfcef828341b6cbead30118b2bfc954ed11eb8a11484c3e,45365,true,26499,-18866,-41.58712663947978
83582a6d2952eb3a36240a1888c1becd45fdc3a6010c8b4e6615ec6f72251848,45366,true,26503,-18863,-41.57959705506326
8abd7dd8940db511c1c0155c02ac3067c47c864ed614002a731d04c7137daa34,11433,true,6785,-4648,-40.654246479489196
db2173876c499b41de749589c91329956e82175eec6e1af32433012ddfab0f79,11433,true,6785,-4648,-40.654246479489196
4ca62b0b332f3eedfc2067deb883f45238264ed836f1f415a6cd6208843feb8f,11626,true,6924,-4702,-40.443832788577325
3396bd6ce8b9436c06cf184e7f17a888f815f1af08047ffc40de7c085a9e5570,49950,true,30043,-19907,-39.853853853853856
3f9150b678116d364fbc2bcb51ef7ddd0761d571de1f6bd7ba6e64871e827de6,1125,true,703,-422,-37.51111111111111
7808ac3a6b6dd79bfd51e2319b2c89c3dae2e3a224664832970cb1f24c2ce55b,12436,true,7837,-4599,-36.981344483756835
6b8f1bf7b6741d053cab0987c2fdede2350d39d24abb250f4e686d2b87d12255,88470,true,57570,-30900,-34.927093930145816
fc351dc94670a0864f1ec8e598fb6a0f12b759010697102127a990ecbfd260b4,13758,true,9083,-4675,-33.980229684547176
0d86a5873854a72266975c0b2446c79b3e33303d0c3b8376817b3322ca928c54,6708,true,4488,-2220,-33.09481216457961
